Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","99","Islande","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","73060.185183","Fc","Donnée calculée",""
"MK","Indicateurs macro","105","Israël","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","42452.135031","Fc","Donnée calculée",""
"MK","Indicateurs macro","106","Italie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","32746.608001","Fc","Donnée calculée",""
"MK","Indicateurs macro","109","Jamaïque","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","5129.845281","Fc","Donnée calculée",""
"MK","Indicateurs macro","110","Japon","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","38219.681728","Fc","Donnée calculée",""
"MK","Indicateurs macro","112","Jordanie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","4195.729706","Fc","Donnée calculée",""
"MK","Indicateurs macro","108","Kazakhstan","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","8756.45714","Fc","Donnée calculée",""
"MK","Indicateurs macro","114","Kenya","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","1507.814626","Fc","Donnée calculée",""
"MK","Indicateurs macro","113","Kirghizistan","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","1251.380638","Fc","Donnée calculée",""
"MK","Indicateurs macro","83","Kiribati","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","1694.286106","Fc","Donnée calculée",""
"MK","Indicateurs macro","275","Kosovo","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","4116.326024","Fc","Donnée calculée",""
"MK","Indicateurs macro","118","Koweït","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","28897.186517","Fc","Donnée calculée",""
"MK","Indicateurs macro","122","Lesotho","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","1178.311754","Fc","Donnée calculée",""
"MK","Indicateurs macro","119","Lettonie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","15624.850572","Fc","Donnée calculée",""
"MK","Indicateurs macro","121","Liban","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","8778.471832","Fc","Donnée calculée",""
"MK","Indicateurs macro","123","Libéria","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","583.830053","Fc","Donnée calculée",""
"MK","Indicateurs macro","124","Libye","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","3941.773821","Fc","Donnée calculée",""
"MK","Indicateurs macro","125","Liechtenstein","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","166021.702917","Fc","Donnée calculée",""
"MK","Indicateurs macro","126","Lituanie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2017","2017","","16449.679586","Fc","Donnée calculée",""
